match_id,season,round,match_code,league,home_team,away_team,result,elo_home,elo_away,avg_implied_1,avg_implied_x,avg_implied_2
s1_r08_HES-DUD,1,8,HES-DUD,LUX,Hesperange,Dudelange,1,1079.0,1085.0,,,
s1_r08_ROM-UDI,1,8,ROM-UDI,ITA,Roma,Udinese,1,1783.0,1642.0,0.5465688178105585,0.2827766123028441,0.21061674130216002
s1_r09_CHE-RMA,1,9,CHE-RMA,CL,Chelsea,Real Madrid,2,1780.0,1917.0,0.345342984549378,0.279558134775183,0.40802575410438446
s1_r09_NAP-ACM,1,9,NAP-ACM,CL,Napoli,AC Milan,X,1908.0,1829.0,0.5696944780103789,0.2667191422547599,0.1948580502354651
s1_r09_BAY-MCI,1,9,BAY-MCI,CL,Bayern München,Manchester City,X,1940.0,2083.0,0.3641016048187143,0.25896796378173775,0.40796100883182645
s1_r09_INT-SLB,1,9,INT-SLB,CL,Inter,Benfica,X,1885.0,1794.0,0.4634211633994098,0.2845908134295206,0.28397798998646145
s1_r09_SEV-MAU,1,9,SEV-MAU,EL,Sevilla,Manchester United,1,1755.0,1865.0,0.28565299873723404,0.27264775935770624,0.4762773011266161
s1_r09_MAI-BAY,1,9,MAI-BAY,TYS,Mainz,Bayern München,1,1673.0,1940.0,0.1866069867507682,0.21641762479341584,0.6342775002725168
s1_r09_MCI-SHU,1,9,MCI-SHU,ENG,Manchester City,Sheffield United,1,2083.0,1631.0,0.8653112909628562,0.11523095015432085,0.06013222277740455
s1_r09_PSV-AJA,1,9,PSV-AJA,HOL,PSV,Ajax,1,1768.0,1744.0,0.418993114633958,0.26931952092312317,0.36093259329552874
s1_r09_BAR-ATM,1,9,BAR-ATM,SPA,Barcelona,Atletico Madrid,1,1861.0,1848.0,0.5000653597092056,0.2880964828141739,0.24638208667752406
s1_r09_BHA-MAU,1,9,BHA-MAU,ENG,Brighton,Manchester United,X,1843.0,1865.0,0.4327349330494386,0.2651112555297445,0.3317226113241867
s1_r10_SIF-AAB,1,10,SIF-AAB,DAN,Silkeborg,AaB,X,1421.0,,0.5,0.28169014084507044,0.26666666666666666
s1_r10_LEE-LEI,1,10,LEE-LEI,PL,Leeds,Leicester,X,1636.0,1733.0,0.45317382947434187,0.2760026937066616,0.303651281565219
s1_r10_FCN-FCK,1,10,FCN-FCK,DAN,FC Nordsjælland,FCK,1,1547.0,1626.0,0.3703703703703704,0.28571428571428575,0.3921568627450981
s1_r10_INT-JUV,1,10,INT-JUV,ITA,Inter,Juventus,1,1885.0,1806.0,0.49390243902439024,0.30303030303030304,0.26491228070175443
s1_r10_FIO-CRE,1,10,FIO-CRE,ITA,Fiorentina,Cremonese,X,1758.0,1525.0,0.740903353273695,0.20638297872340428,0.11437908496732027
s1_r10_CRY-WHU,1,10,CRY-WHU,PL,Crystal Palace,West Ham,1,1763.0,1787.0,0.3691485967559458,0.3120432992032155,0.35325150535763594
s1_r10_NAP-SAL,1,10,NAP-SAL,ITA,Napoli,Salernitana,X,1908.0,1615.0,0.8151257676696767,0.15181348440710724,0.07119164900332009
s1_r10_S04-WER,1,10,S04-WER,TYS,Schalke 04,Werder Bremen,1,1570.0,1597.0,0.430637435443782,0.27762344000836287,0.3288754776320862
s1_r10_FCK-BIF,1,10,FCK-BIF,SL,FCK,Brøndby,2,1626.0,1485.0,0.6276165152800174,0.2407828511222983,0.18568973911587502
s1_r10_ESP-GET,1,10,ESP-GET,SPA,Espanyol,Getafe,1,1618.0,1644.0,0.4118615674366006,0.3306410312906864,0.2961696172839602
s1_r11_FRE-RBL,1,11,FRE-RBL,TYS,Freiburg,RB Leipzig,2,1739.0,1817.0,0.28169014084507044,0.28571428571428575,0.4878048780487805
s1_r11_VAL-VIL,1,11,VAL-VIL,SPA,Valencia,Villarreal,X,1678.0,1767.0,0.3310105185151701,0.28695329788658747,0.42876577608503036
s1_r11_STU-FRA,1,11,STU-FRA,TYS,Stuttgart,Frankfurt,2,1641.0,1719.0,0.425531914893617,0.29411764705882354,0.33898305084745756
s1_r11_AAB-SIL,1,11,AAB-SIL,DAN,AaB,Silkeborg,1,,1421.0,0.40816326530612246,0.3076923076923077,0.33333333333333337
