season,round,player,elo
1,33,Vålerenga,1337.0
1,33,Zürich,1492.0
1,34,AC Milan,1829.0
1,34,Alaves,1593.0
1,34,Atalanta,1768.0
1,34,Augsburg,1587.0
1,34,Barcelona,1861.0
1,34,Bayern München,1940.0
1,34,Brighton,1843.0
1,34,Brøndby,1485.0
1,34,Dortmund,1843.0
1,34,FCK,1626.0
1,34,Freiburg,1739.0
1,34,Hvidovre,1324.0
1,34,Juventus,1806.0
1,34,Marseille,1697.0
1,34,Nantes,1513.0
1,34,Napoli,1908.0
1,34,Osasuna,1670.0
1,34,Porto,1826.0
1,34,Real Madrid,1917.0
1,34,Rennes,1711.0
1,35,AGF,1471.0
1,35,Basel,1437.0
1,35,Cypern,1316.0
1,35,FCK,1626.0
1,35,Frankrig,2124.0
1,35,Holland,1967.0
1,35,Kroatien,1948.0
1,35,Las Palmas,1572.0
1,35,Middlesbrough,1554.0
1,35,Norge,1745.0
1,35,Sochaux,1396.0
1,35,Sunderland,1524.0
1,35,Tyrkiet,1747.0
1,35,Villarreal,1767.0
1,35,Young Boys,1603.0
1,36,Belgien,1983.0
1,36,Bosnien,1532.0
1,36,Danmark,1871.0
1,36,Dortmund,1843.0
1,36,England ,2031.0
1,36,Finland,1628.0
1,36,Italien,1940.0
1,36,Kazakhstan,1485.0
1,36,Montenegro,1547.0
1,36,Norge,1745.0
1,36,Portugal,2032.0
1,36,Servette,1479.0
1,36,Slovenien,1712.0
1,36,Spanien,2028.0
1,36,Sverige,1739.0
1,36,Werder Bremen,1597.0
1,36,Zrinjski Mostar,1262.0
1,37,AC Milan,1829.0
1,37,AGF,1471.0
1,37,Arsenal,1921.0
1,37,Athletic Bilbao,1704.0
1,37,Augsburg,1587.0
1,37,Barcelona,1861.0
1,37,Bayer Leverkusen,1756.0
1,37,Besiktas,1637.0
1,37,Chelsea,1780.0
1,37,FC Nordsjælland,1547.0
1,37,FCK,1626.0
1,37,Galatasaray,1668.0
1,37,Heidenheim,1563.0
1,37,Juventus,1806.0
1,37,Lyngby,1351.0
1,37,Napoli,1908.0
1,37,Vejle,1310.0
1,37,Verona,1618.0
1,37,Viborg,1464.0
1,37,Wolfsburg,1714.0
1,38,AC Milan,1829.0
1,38,Arsenal,1921.0
1,38,Barcelona,1861.0
1,38,Brøndby,1485.0
1,38,FC Nordsjælland,1547.0
1,38,FCK,1626.0
1,38,Feyenoord,1745.0
1,38,Hoffenheim,1631.0
1,38,Inter,1885.0
1,38,Lazio,1767.0
1,38,Manchester City,2083.0
1,38,Manchester United,1865.0
1,38,PSG,1796.0
1,38,Real Madrid,1917.0
1,38,Roma,1783.0
1,38,Sevilla,1755.0
1,38,Stuttgart,1641.0
1,38,Trnava,1391.0
1,39,Ajax,1744.0
1,39,Athletic Bilbao,1704.0
1,39,Bayern München,1940.0
1,39,Cagliari,1572.0
1,39,Chelsea,1780.0
1,39,Dortmund,1843.0
1,39,FC Midtjylland,1569.0
1,39,FCK,1626.0
1,39,Hertha Berlin,1539.0
1,39,Mainz,1673.0
1,39,Napoli,1908.0
1,39,Salernitana,1615.0
1,39,Tenerife,1542.0
1,39,Tottenham,1829.0
1,39,Udinese,1642.0
1,39,Villarreal,1767.0
1,39,Volendam,1379.0
1,40,AEK Athen,1568.0
1,40,AZ Alkmaar,1671.0
1,40,Ajax,1744.0
1,40,Arsenal,1921.0
1,40,Aston Villa,1825.0
1,40,Brighton,1843.0
1,40,Dortmund,1843.0
1,40,FCK,1626.0
1,40,Feyenoord,1745.0
1,40,Klaksvik,1151.0
1,40,Lazio,1767.0
1,40,Lens,1744.0
1,40,Manchester United,1865.0
1,40,Marseille,1697.0
1,40,Newcastle,1884.0
1,40,Olimpija Ljubljana,1343.0
1,40,Olympiakos,1577.0
1,40,PSV,1768.0
1,40,Sevilla,1755.0
1,40,West Ham,1787.0
1,41,AC Milan,1829.0
1,41,Betis,1750.0
1,41,Bochum,1595.0
1,41,Bologna,1700.0
1,41,Brøndby,1485.0
1,41,Crystal Palace,1763.0
1,41,Elfsborg,1476.0
1,41,Everton,1691.0
1,41,FCK,1626.0
1,41,Fiorentina,1758.0
1,41,HSV Hamburg,1596.0
1,41,Holstein Kiel,1467.0
1,41,Köln,1661.0
1,41,Lazio,1767.0
1,41,Lecce,1591.0
1,41,Malmö FF,1438.0
1,41,Roma,1783.0
1,41,Sevilla,1755.0
1,42,Armenien,1463.0
1,42,Burnley,1722.0
1,42,Danmark,1871.0
1,42,Holland,1967.0
1,42,Irland,1617.0
1,42,Island,1492.0
1,42,Israel,1626.0
1,42,Kroatien,1948.0
1,42,Letland,1352.0
1,42,Polen,1712.0
1,42,Rumænien,1631.0
1,42,Slovakiet,1632.0
1,42,Slovenien,1712.0
1,42,Tjekkiet,1750.0
1,42,Wales,1706.0
1,43,Albacete,1506.0
1,43,Cartagena,1473.0
1,43,Danmark,1871.0
1,43,Frankrig,2124.0
1,43,Grækenland,1710.0
1,43,Nordirland,1451.0
1,43,Norge,1745.0
1,43,Rumænien,1631.0
1,43,Schweiz,1845.0
1,43,Skotland,1814.0
1,43,Tyrkiet,1747.0
1,43,Wales,1706.0
1,43,Zrinjski Mostar,1262.0
1,44,AC Milan,1829.0
1,44,Barcelona,1861.0
1,44,Bochum,1595.0
1,44,Brøndby,1485.0
1,44,Dortmund,1843.0
1,44,FCK,1626.0
1,44,Fiorentina,1758.0
1,44,Gladbach,1683.0
1,44,Heidenheim,1563.0
1,44,Hoffenheim,1631.0
1,44,Inter,1885.0
1,44,Juventus,1806.0
1,44,Lazio,1767.0
1,44,Lyngby,1351.0
1,44,Mainz,1673.0
1,44,OB,1434.0
1,44,Randers,1405.0
1,44,Rayo Vallecano,1637.0
1,44,Salernitana,1615.0
1,44,Viborg,1464.0
1,45,AC Milan,1829.0
1,45,Atletico Madrid,1848.0
1,45,Bayern München,1940.0
1,45,Cagliari,1572.0
1,45,Dortmund,1843.0
1,45,FC Nordsjælland,1547.0
1,45,FCK,1626.0
1,45,Fenerbahce,1655.0
1,45,Feyenoord,1745.0
1,45,Galatasaray,1668.0
1,45,Lazio,1767.0
1,45,Manchester United,1865.0
1,45,Newcastle,1884.0
1,45,Osasuna,1670.0
1,45,Sociedad,1777.0
1,45,Stuttgart,1641.0
1,45,Werder Bremen,1597.0
1,46,Atletico Madrid,1848.0
1,46,Barcelona,1861.0
1,46,Bayer Leverkusen,1756.0
1,46,Brentford,1835.0
1,46,Brighton,1843.0
1,46,Brøndby,1485.0
1,46,Dortmund,1843.0
1,46,Feyenoord,1745.0
1,46,Frankfurt,1719.0
1,46,Genoa,1587.0
1,46,Hvidovre,1324.0
1,46,Lazio,1767.0
1,46,Lyon,1664.0
1,46,Marseille,1697.0
1,46,PSV,1768.0
1,46,Roma,1783.0
1,46,Sassuolo,1640.0
1,46,Tottenham,1829.0
1,46,West Ham,1787.0
1,47,AC Milan,1829.0
1,47,Atalanta,1768.0
1,47,Bayer Leverkusen,1756.0
1,47,Besiktas,1637.0
1,47,Dortmund,1843.0
1,47,FC Santa Coloma,898.0
1,47,Fenerbahce,1655.0
1,47,Fiorentina,1758.0
1,47,Köln,1661.0
1,47,Lazio,1767.0
1,47,Mainz,1673.0
1,47,Newcastle,1884.0
1,47,RB Leipzig,1817.0
1,47,Roma,1783.0
1,47,Sociedad,1777.0
1,47,Stuttgart,1641.0
1,47,Tottenham,1829.0
1,47,Verona,1618.0
1,47,Villarreal,1767.0
1,48,AC Milan,1829.0
1,48,Bari,1494.0
1,48,Betis,1750.0
1,48,FC Nordsjælland,1547.0
1,48,FCK,1626.0
1,48,Galatasaray,1668.0
1,48,Genoa,1587.0
1,48,Juventus,1806.0
1,48,Leeds,1636.0
1,48,Ludogorets,1501.0
1,48,Newcastle,1884.0
1,48,Porto,1826.0
1,48,Rangers,1654.0
1,48,Shakhtar Donetsk,1601.0
1,48,Spezia,1536.0
1,48,Sunderland,1524.0
1,49,Athletic Bilbao,1704.0
1,49,Atletico Madrid,1848.0
1,49,Bayer Leverkusen,1756.0
1,49,Bayern München,1940.0
1,49,Bochum,1595.0
1,49,Dinamo Zagreb,1593.0
1,49,Empoli,1616.0
1,49,Frankfurt,1719.0
1,49,Hajduk Split,1506.0
1,49,Inter,1885.0
1,49,Lazio,1767.0
1,49,Liverpool,1946.0
1,49,Manchester United,1865.0
1,49,St Gallen,1480.0
1,49,Stuttgart,1641.0
1,49,Torino,1692.0
1,49,Union Berlin,1747.0
1,49,Zürich,1492.0
1,50,APOEL Nicosia,1438.0
1,50,Bournemouth,1711.0
1,50,Fenerbahce,1683.0
1,50,Freiburg,1739.0
1,50,Frosinone,1588.0
1,50,Galatasaray,1685.0
1,50,Heidenheim,1563.0
1,50,Mallorca,1642.0
1,50,Napoli,1811.0
1,50,Nottingham Forest,1669.0
1,50,Omonia,1437.0
1,50,Osasuna,1670.0
1,50,RB Leipzig,1817.0
1,50,Roma,1761.0
1,50,Sparta Rotterdam,1564.0
1,50,Werder Bremen,1597.0
1,51,Aberdeen,1356.0
1,51,Arsenal,1910.0
1,51,Aston Villa,1851.0
1,51,Braga,1660.0
1,51,Burnley,1647.0
1,51,Casa Pia,1418.0
1,51,Chelsea,1782.0
1,51,Club Brügge,1690.0
1,51,Fulham,1712.0
1,51,Juventus,1852.0
1,51,Leeds,1644.0
1,51,Luton,1607.0
1,51,Manchester United,1787.0
1,51,Motherwell,1286.0
1,51,Roma,1761.0
1,51,Union St Gilloise,1705.0
1,51,West Bromwich,1561.0
1,52,AC Milan,1839.0
1,52,Atletico Madrid,1861.0
1,52,Barcelona,1863.0
1,52,Cagliari,1574.0
1,52,Crusaders,1086.0
1,52,Espanyol,1595.0
1,52,Frosinone,1582.0
1,52,Getafe,1677.0
1,52,Girona,1787.0
1,52,Kayserispor,1414.0
1,52,Las Palmas,1638.0
1,52,Lazio,1772.0
1,52,Lens,1747.0
1,52,Linfield,1119.0
1,52,Monaco,1699.0
1,52,Monza,1665.0
1,52,PSG,1881.0
1,52,Sivasspor,1421.0
1,52,Toulouse,1603.0
1,52,Udinese,1646.0
1,53,AC Milan,1839.0
1,53,Atletico Madrid,1861.0
1,53,Benfica,1789.0
1,53,Bologna,1718.0
1,53,Braga,1660.0
1,53,Cagliari,1574.0
1,53,Chelsea,1782.0
1,53,Fiorentina,1748.0
1,53,Gladbach,1675.0
1,53,Manchester City,2045.0
1,53,Middlesbrough,1538.0
1,53,Newcastle,1794.0
1,53,Real Madrid,1968.0
1,53,Roma,1761.0
1,53,Samsunspor,1336.0
1,53,Stuttgart,1712.0
1,53,Trabzonspor,1535.0
1,54,Athletic Bilbao,1780.0
1,54,Augsburg,1602.0
1,54,Barcelona,1863.0
1,54,Bayer Leverkusen,1860.0
1,54,Betis,1732.0
1,54,Cardiff,1462.0
1,54,Feyenoord,1727.0
1,54,Fiorentina,1748.0
1,54,Gladbach,1675.0
1,54,Go Ahead Eagles,1434.0
1,54,Juventus,1852.0
1,54,Napoli,1811.0
